BGGEOID20,ACSyr,B19013_001E,B19013_001M
481677233003,2022,,
481677233004,2022,,
481677233005,2022,133750.0,48532.0
481677234011,2022,126761.0,105532.0
481677234012,2022,115434.0,68455.0
481677234021,2022,,
481677234022,2022,108925.0,35316.0
481677234031,2022,91460.0,21258.0
481677234032,2022,90668.0,23125.0
481677235011,2022,74821.0,34391.0
481677235012,2022,126065.0,41574.0
481677235013,2022,,
481677235031,2022,74219.0,51282.0
481677235032,2022,66544.0,44615.0
481677235041,2022,,
481677235042,2022,93750.0,50737.0
481677235043,2022,105632.0,88910.0
481677235051,2022,,
481677235052,2022,91303.0,66432.0
481677236001,2022,99063.0,50946.0
481677236002,2022,,
481677236003,2022,110729.0,20863.0
481677237001,2022,34700.0,13404.0
481677237002,2022,54950.0,27352.0
481677237003,2022,59036.0,33627.0
481677238001,2022,89491.0,75300.0
481677238002,2022,112054.0,32442.0
481677238003,2022,103403.0,34153.0
481677239001,2022,67813.0,19626.0
481677239002,2022,,
481677239003,2022,63049.0,38899.0
481677239004,2022,,
481677240001,2022,23854.0,20574.0
481677240002,2022,,
481677241011,2022,69792.0,16325.0
481677241012,2022,40000.0,32780.0
481677242001,2022,,
481677242002,2022,46964.0,38321.0
481677242003,2022,45886.0,24510.0
481677243001,2022,,
481677243002,2022,,
481677243003,2022,64063.0,40709.0
481677243004,2022,69119.0,6789.0
481677243005,2022,,
481677244001,2022,47105.0,26207.0
481677244002,2022,75521.0,18083.0
481677244003,2022,33575.0,26421.0
481677244004,2022,96111.0,66885.0
481677245001,2022,47375.0,22465.0
481677246001,2022,20595.0,10575.0
481677247001,2022,39750.0,39458.0
481677247002,2022,32917.0,9147.0
481677248001,2022,95000.0,41263.0
481677248002,2022,63750.0,46939.0
481677249001,2022,118571.0,82554.0
481677249002,2022,60307.0,8896.0
481677249003,2022,67443.0,25133.0
481677250001,2022,46396.0,3021.0
481677250002,2022,,
481677250003,2022,,
481677251001,2022,34327.0,7027.0
481677251002,2022,38482.0,7094.0
481677251003,2022,49375.0,11498.0
481677252001,2022,53382.0,18298.0
481677252002,2022,44531.0,20570.0
481677253001,2022,55750.0,18606.0
481677253002,2022,100043.0,42975.0
481677254001,2022,101250.0,56285.0
481677254002,2022,74500.0,21186.0
481677254003,2022,48910.0,14841.0
481677254004,2022,,
481677255001,2022,71250.0,33528.0
481677255002,2022,82000.0,22588.0
481677256001,2022,71250.0,42712.0
481677256002,2022,33882.0,26142.0
481677256003,2022,48269.0,13271.0
481677256004,2022,36033.0,18934.0
481677257001,2022,111364.0,30622.0
481677257002,2022,110691.0,15371.0
481677258001,2022,51967.0,26346.0
481677258002,2022,90577.0,56643.0
481677258003,2022,70625.0,64507.0
481677259001,2022,80833.0,49489.0
481677259002,2022,56140.0,6167.0
481677260001,2022,126875.0,40151.0
481677260002,2022,92833.0,31362.0
481677261011,2022,114083.0,28814.0
481677261021,2022,79094.0,20592.0
481677262001,2022,30863.0,9705.0
481677262002,2022,56518.0,17630.0
481679900000,2022,,
481679901000,2022,,
